,actual,predict0,predict1,predict2,predict3,predict4,predict5,predict6,predict7,predict8,predict9,predict10,predict11,predict12,predict13,predict14,predict15,predict16,predict17,predict18,predict19,predict20,predict21,predict22,predict23,predict24,predict25,predict26,predict27,predict28,predict29,predict30,predict31,predict32,predict33,predict34,predict35,predict36,predict37,predict38,predict39,predict40,predict41,predict42,predict43,predict44,predict45,predict46,predict47,predict48,predict49,predict50,predict51,predict52,predict53,predict54,predict55,predict56,predict57,predict58,predict59,predict60,predict61,predict62,predict63,predict64,predict65,predict66,predict67,predict68,predict69,predict70,predict71,predict72,predict73,predict74,predict75,predict76,predict77,predict78,predict79,predict80,predict81,predict82,predict83,predict84,predict85,predict86,predict87,predict88,predict89,predict90,predict91,predict92,predict93,predict94,predict95,predict96,predict97,predict98,predict99
0,4417.275491621897,4634.654214310608,4652.799090866508,4412.4355423102115,4665.69423851001,4612.325745069326,4408.793696617099,4545.265482479455,4495.317910182843,4437.229189477319,4631.930727326286,4551.844959428212,4523.79101907959,4676.918793616848,4586.632628687358,4366.509644750329,4568.974061977921,4529.809972535114,4450.203695078347,4248.268404472989,4485.5834910556105,4409.430753729264,4578.080507173801,4411.980083465996,4319.015197533554,4488.0714360944985,4646.414889215448,4383.243021365799,4622.647925609766,4476.389481043268,4451.114373596758,4255.432812437149,4426.243537809667,4566.613155325804,4583.021177805365,4491.914454316281,4408.133793527769,4437.433823435509,4370.187681391665,4502.924780723956,4511.557548343045,4423.139772108901,4399.121181309858,4413.199480766921,4586.912742381986,4438.581892928402,4564.897305481816,4524.499576228185,4599.766002764392,4448.458919841595,4501.649746231413,4549.141938901245,4539.797143415229,4562.171274785735,4440.3571017061795,4775.787737998052,4488.329531027544,4563.656760932056,4435.024473403592,4598.1420599155,4578.308187090049,4495.509175147592,4664.263124705164,4551.683242319958,4436.228798927239,4632.994358344414,4427.3614762437,4650.988714628078,4543.271189835596,4614.839629784683,4426.790554231538,4559.7510505134915,4527.519117372958,4511.170434994361,4550.813371530583,4612.541331009996,4550.338015970383,4471.405680888292,4425.348730689156,4492.070246743234,4480.093661395671,4593.618126429376,4558.525053113595,4622.089310782461,4490.22472465405,4636.857185523914,4543.085074964,4517.593807330133,4634.106892036786,4430.569063553126,4522.294097338681,4511.016047742305,4387.833652529807,4620.355655305213,4577.342594484177,4263.631393925481,4466.554041721326,4484.901576999359,4677.078511182791,4475.572098002053,4447.552886100828
1,4349.131076894595,4269.593786571158,4457.41514161879,4367.671188928719,4521.14052590873,4522.339955216228,4546.8793207185745,4264.029416938625,4265.024707539623,4407.820968907145,4245.426982877735,4344.91696321611,4284.859228322926,4459.905123230566,4388.26598141127,4347.4528963352395,4434.912154856513,4467.566978610189,4212.849344121175,4317.810060769836,4377.235588107205,4271.892791611444,4472.665750981707,4610.960026803894,4257.218356874985,4386.653860483409,4254.831851483351,4256.798639947663,4563.092525108046,4468.3001182022135,4301.2743018389865,4369.030575031212,4352.4575109600155,4511.860034094655,4386.233845599988,4392.219921166372,4423.940819947084,4416.857743784135,4356.131910735905,4495.479467272554,4395.982346490907,4296.818182947634,4179.83274960689,4371.134812920896,4285.977805440447,4477.027236249346,4514.548607374795,4401.293303320819,4489.955754498403,4345.357024321114,4527.770149166479,4258.2832053732,4482.445067938202,4300.125175387442,4454.160505906738,4312.448879345662,4341.4835403048055,4527.592593981336,4581.428614659,4405.8678859234005,4449.6835095913175,4486.8267453031385,4399.835401886457,4407.8828041672605,4366.117618264881,4370.127561073376,4395.193433952242,4362.686355860829,4578.415878718019,4584.717389079316,4425.903654602077,4434.7735035031865,4355.6286025313875,4314.842347459252,4295.442274404728,4365.7614929035635,4452.572660970602,4407.155259552847,4351.897526914168,4180.872201826719,4598.672656292576,4197.959855029302,4592.95036549613,4341.0424883890855,4463.386453827334,4369.6241381800455,4401.474359012625,4448.885363912121,4491.981575593149,4454.52030928211,4526.3650901664205,4398.438477379646,4384.271113933087,4446.937995733152,4329.777387203563,4397.777909639223,4266.745971240647,4523.815867069687,4458.315367930648,4491.189569091261,4561.360326062289
2,4264.602568153675,4376.0582513419395,4188.946166522791,4348.248884059713,4258.5492759452445,4203.392953114167,4295.821936831736,4392.428655597072,4495.416723096371,4398.153215769338,4556.49758053834,4242.027802527535,4441.878167693799,4381.702524552857,4255.988632001461,4258.090801030763,4497.160029823158,4306.521288211317,4310.548151836546,4320.749783887148,4360.245070360576,4306.326240159615,4233.042784767569,4573.308768857682,4407.858270663825,4146.80930424184,4386.178162205821,4228.279729027097,4430.376688614404,4484.384800769375,4387.684148409707,4098.504035595373,4320.297852691043,4305.380016824755,4293.5735225662265,4660.253833151626,4326.691374007312,4241.592655807138,4316.981020366058,4310.406372921689,4390.766443138477,4304.64261755117,4543.8540779860605,4269.581221621558,4502.861573594993,4255.691842245694,4331.426877183821,4406.544487337964,4465.536603212776,4363.663716304851,4331.626544130679,4366.946165525941,4358.262283996272,4295.108952220447,4284.5777031906955,4457.265422581889,4118.542701098459,4442.74257038919,4332.02113573757,4326.329150076122,4093.0545287337895,4542.792600620249,4324.035526769488,4542.960586742434,4392.873097993661,4383.587471524047,4353.12351883189,4375.063687360969,4192.8187104107865,4304.314151658067,4365.862778623717,4286.4730584329445,4369.175011660771,4384.170363684335,4391.142360484784,4389.47407191803,4171.819754098864,4318.347783974811,4371.093236619698,4323.592597992973,4347.1116915884195,4335.730034857628,4195.964901026079,4108.21207859915,4334.451281203061,4287.982210534317,4517.534748259856,4369.807417904462,4217.492286501753,4155.710158369111,4357.731860549931,4292.017703132436,4267.263425605383,4317.838125114783,4313.014322285611,4343.812744812787,4439.0216949933665,4301.9159707382205,4235.533796113683,4366.135163488921,4312.506276974208
3,4400.740159819143,4245.683583162399,4264.216738523119,4241.962797058065,4205.577382202317,4459.877312405746,4150.225576358447,4329.930971458741,4309.812597922297,4121.725899180993,4262.3294257025655,4263.487798630513,4257.294300262912,4102.694735010765,4259.341876626646,4350.843513183854,4211.511404041972,4139.027692229568,4067.532939275965,4014.160439649309,4214.502329592771,4279.673354307432,4194.01966163032,4452.111015025877,4289.7766086000765,4286.065129194738,4294.940629072099,4224.678181378961,4191.0429992759555,4181.140327046648,4172.133172070491,4099.631065664973,4286.562052088227,4315.3675954113505,4285.871075286294,4317.307969517512,4308.020650419132,4317.850097590328,4292.047841836829,4357.039066095945,4249.578529983187,4271.04594901485,4154.005580187298,4342.156895514818,4362.349865202492,4379.917054881374,4121.007820599324,4237.398887719991,4346.440827930471,4181.426076053769,4344.281527156521,4150.321735859793,4175.97821059585,4289.653738365169,4181.578902644837,4129.522326152755,4243.474133541893,4254.251372962818,4481.585741562629,4133.069550414709,4366.896001970881,4287.499192089113,4206.867821147095,4307.611527473791,4387.4884785911045,4388.55524281494,4243.311141694236,4173.769816645719,4336.25528682262,4321.639504901828,4216.573606945921,4263.9285754026105,4329.770163080611,4252.362086859209,4211.102562945877,4226.60863940191,4267.248576816489,4271.040852363612,4321.036446106327,4259.290269869503,4326.138772784962,4150.041452130166,4243.815700100071,4376.31746058192,4345.228562922239,4355.90998157759,4248.262201387611,4305.956996762853,4284.292274369867,4323.009603548884,4227.850135750787,4112.529975631875,4325.823403479923,4261.178085364336,4177.344914519635,4279.671099836115,4206.561285583326,4076.0911751915364,4352.3622152637045,4309.823253100775,4355.021130064625
4,4438.6506860636255,4242.451120676197,4292.6489615570945,4361.730857705129,4545.526742496193,4561.019968143302,4402.154376296485,4398.425022382048,4380.7589885741945,4438.477577743703,4312.904931360069,4383.357846593235,4531.959389840559,4252.011999254107,4440.930026984926,4611.531870179606,4251.034887674944,4445.700010085586,4458.886356927412,4365.8379526322415,4448.764559818838,4537.407733895462,4388.394434928062,4334.187205935016,4321.05989944476,4238.336232711515,4357.25805928547,4257.191066473809,4410.567058887952,4481.102895358343,4545.713783091735,4392.041517777794,4351.424409831107,4523.418331912682,4319.575262524559,4347.151542008028,4241.325892155709,4311.7683067928965,4399.319256717489,4459.563531191239,4449.6342897902805,4470.2243106090555,4316.4240000018735,4333.368054904127,4296.829064170437,4506.286514158351,4478.595361859828,4421.886349677636,4363.012473526197,4213.640095507604,4469.355611291465,4379.540931893278,4244.104162283077,4288.992314742404,4156.993585409861,4393.657206272907,4227.881279329773,4441.859132697371,4541.052106225025,4298.103269340199,4406.737527239949,4402.083666228607,4467.369921283258,4482.189684953147,4286.991398462744,4440.391674976556,4386.223780935623,4435.503351426479,4429.831359138699,4423.082464842153,4286.6921277906895,4279.33443885507,4474.390544145346,4300.317064378397,4429.899565068795,4463.207042811881,4373.250947271368,4362.029067646235,4483.399974259689,4385.801866596183,4445.472898047282,4452.883059640379,4335.891275243274,4342.448624474555,4419.835626314983,4397.65816757383,4281.623706770111,4395.9661251576945,4507.501595545778,4346.568181311918,4303.31502883305,4418.9166874425255,4270.647775925251,4497.875355795942,4339.7573979402305,4447.787074970489,4447.358065658911,4139.589523742832,4332.9048083806265,4454.873018474375,4301.574119470669
5,4391.792820040153,4393.674194852678,4330.259419774013,4352.062984156986,4345.754967621469,4381.057507630242,4341.189229936027,4457.583758435677,4454.457530668591,4542.682476133834,4507.640267618392,4457.9662090085885,4577.612776568236,4410.041088959936,4348.596248065832,4369.3602013485215,4608.691620860097,4446.6610993736385,4541.0546635135215,4469.037653695423,4405.205875576992,4394.337963501291,4240.2700094278225,4402.228838393946,4230.5947845308165,4411.764215580314,4389.621314164526,4435.4411529783865,4488.289150722904,4466.210729619816,4407.1705318896575,4332.396004862723,4502.576798844531,4342.955869777094,4461.5932709877225,4438.487609601498,4325.584237749515,4362.079269231126,4707.951406801676,4287.138883241202,4420.030647227227,4338.793461585782,4521.838652161363,4287.420763655156,4234.278886092375,4523.852668805797,4514.9153824032155,4397.216214895928,4234.4541477808425,4310.039325807353,4146.590382094646,4373.034006660454,4427.326115991897,4475.367802403621,4241.969920315434,4471.300836214421,4333.712784358927,4348.374136039767,4483.601710646333,4386.54512295108,4392.200791544741,4378.479205470545,4367.033284797597,4254.875256728256,4336.554886709147,4488.387178964196,4335.863949346718,4427.721345411145,4296.82521578257,4569.611119600535,4374.972134504624,4581.9430873893925,4405.773314693745,4586.72586103451,4471.533037122815,4287.038899622159,4458.587341675167,4418.857496700435,4440.894480477349,4278.757898966277,4326.1093950242985,4249.5364937360655,4404.5706473131395,4397.685364704865,4365.0279860349965,4362.346114989176,4600.8979966415745,4454.483695217016,4572.61784151454,4625.842653313656,4419.445884603601,4367.457627223302,4524.671069961322,4513.825486689774,4355.146785593446,4486.655576812442,4536.475856675935,4493.0011237551935,4394.378202568998,4498.132017973563,4503.133192233967
6,4366.908117754145,4389.019762696211,4421.608117661162,4292.968125957673,4381.145089472986,4352.618156739435,4409.333562457032,4313.928781443915,4529.267254040097,4334.405995770216,4305.472327656076,4287.394444273548,4260.535476732536,4492.066558232087,4329.134821797741,4400.995417346132,4458.294412177213,4463.985040749946,4387.0062948263785,4309.193222531689,4496.969734784379,4355.328355728128,4350.849135587132,4431.885673278615,4502.425740467678,4402.716694971171,4443.410556089684,4231.261643316301,4368.47852739835,4512.801794806969,4330.427334336446,4310.20803040465,4416.191148951335,4409.3095524631135,4396.258232337467,4315.181775022713,4284.037697631893,4367.906222928516,4648.157298832425,4400.05176244914,4343.089232142655,4436.349750453073,4304.547187201511,4430.719346567619,4439.216512986261,4456.787233291762,4379.975804807667,4404.558353037264,4385.057912244035,4350.819654344358,4309.017854592642,4295.169930060877,4382.749761485517,4555.478608180661,4535.088239758111,4347.337660981791,4333.288858230901,4355.016007183432,4513.441516404232,4456.584646269827,4401.496376243767,4404.632967676173,4342.474075159695,4312.843231474993,4235.928910279535,4392.678896747162,4328.258790952478,4392.824489344844,4320.37363833247,4367.291410435569,4565.983490893153,4397.642512849882,4506.250088995418,4409.431181032652,4382.6666449285785,4327.846117735529,4423.402101044998,4179.1566124918845,4264.221016882255,4699.053232166922,4343.268915635177,4578.43142491182,4346.852173000127,4500.97850753131,4431.576182705885,4369.001355756105,4555.499130041389,4249.83165117314,4276.651672717514,4538.1144571714285,4243.348556233882,4243.63155865149,4380.457980014029,4335.880699554988,4503.233797644896,4472.36498318529,4407.246887736019,4282.9827843274215,4327.655284391264,4368.606167839871,4228.7204366439
7,4376.278929081181,4393.012123356226,4398.135735577465,4264.178144653709,4386.468283196615,4362.114852784989,4336.3089377195865,4445.969364098349,4520.520963085031,4298.605500909528,4351.831051816543,4286.186830074399,4481.116661216698,4463.960810739874,4386.842271595948,4450.745451093723,4226.208444443988,4216.190134995806,4217.328339619924,4121.796664805658,4331.762049809088,4227.842445468991,4245.054102857279,4255.90352589341,4166.350415823084,4359.741670068127,4388.068839439844,4400.450157657823,4407.702523803958,4380.838883904477,4412.548056558946,4425.817373537694,4316.035507771865,4429.23472848426,4234.47051475418,4487.605463601552,4492.4523564617975,4333.369828113056,4273.871781397909,4400.5180199385495,4300.6007596110685,4287.942212297542,4441.870816734588,4267.400710680304,4372.414846943391,4282.370730084508,4446.908471530576,4391.166095438156,4153.929342459815,4333.650543020211,4580.839529183735,4330.156624567351,4325.97136482729,4443.849778467036,4294.6343540702865,4278.57732542794,4325.4467682623,4400.7063960278865,4309.010461339011,4317.887872119115,4370.613480091836,4289.183991836422,4238.873424928038,4212.976130468075,4347.55137175655,4282.164565219198,4420.649043395871,4319.7704267302115,4307.669512962627,4275.219865774731,4202.401900255491,4441.304767781803,4346.164079762942,4446.781897009212,4446.5314428434085,4375.932802088039,4424.494141793956,4400.6745601363455,4497.105081768169,4372.4568403933445,4496.359610729406,4494.783882750841,4514.314599085876,4320.76203357813,4524.131630550137,4426.157640881876,4347.476945281619,4255.262664928025,4400.381122029481,4321.64878177461,4346.467977180378,4416.417389218991,4359.430456376947,4495.636240857141,4360.861610586796,4387.19335656049,4340.867107544066,4373.533929931638,4391.479596161133,4557.016497873419,4293.36208091996
8,4502.765411350683,4420.119028907015,4226.779891581109,4131.668272094814,4375.576579818762,4426.4388004238335,4268.420151889171,4422.298297530631,4590.200659896639,4362.871432121869,4349.879964645964,4159.640855301791,4294.231430144392,4277.222843249527,4255.703320558999,4257.059697930972,4264.7075757978255,4387.19902370928,4218.47434117966,4477.878051576747,4346.067154791867,4427.814835576501,4320.378448030761,4400.181223178601,4479.475093972053,4577.4996972699455,4429.201943327582,4415.165565094568,4298.030999256891,4279.521881016366,4261.739709262525,4494.583629914439,4340.816302805504,4266.271457251989,4546.373922372499,4233.560106483604,4525.960162510036,4295.9809819314005,4343.470061277142,4337.07000324763,4444.853220184265,4410.330788140126,4463.169103511632,4504.967776714248,4309.518090645476,4459.483931617559,4359.151810584482,4356.1119528642985,4502.221176155289,4296.481165427076,4488.784958968021,4456.933240800793,4314.48132108816,4430.881319841679,4495.297894312274,4338.715598688019,4223.568077384771,4275.3454288914345,4131.274723109672,4356.411978251065,4356.240122785659,4334.412722827638,4456.475531231191,4375.6244242855855,4333.658120142553,4330.560251501817,4345.393369026483,4398.021307194941,4285.253617202033,4342.9386806263055,4464.915953703628,4493.9841229890335,4227.151742775437,4228.315577899065,4361.100095198217,4380.6086368484275,4296.699274544336,4378.848708565302,4427.216433903407,4418.977001742728,4354.98829316919,4419.624587428604,4248.047716087872,4403.925940383927,4407.645414615748,4398.624323225248,4298.708789319373,4317.984218559899,4385.654039211521,4415.879770062296,4068.4824977443013,4262.6291185374075,4487.72418655288,4387.865741367959,4393.060836402344,4461.696997017287,4433.412384117101,4433.0339019647745,4180.986131130483,4231.894897333228,4270.284875387685
9,4467.095841378092,4529.172035047693,4408.467625617788,4269.8002255942465,4455.461260069878,4589.582693791032,4355.660299478253,4460.148037805413,4580.468448794712,4412.634733301275,4461.868293721842,4358.912476378776,4565.830981281918,4611.991953692722,4579.212996649744,4534.603539154849,4370.026448705057,4725.157484420937,4583.460973502573,4517.308001620315,4506.162029837203,4326.936352196676,4484.130550923516,4436.7324994914725,4531.517417802934,4584.722791848422,4383.974553028188,4466.911050914901,4353.075379706209,4563.8590910425655,4617.837527366544,4496.679497417569,4522.6614687287565,4617.249549500203,4445.464564318972,4283.405257640666,4569.030868557732,4484.825501402342,4465.025100341602,4677.072533444929,4369.02343663407,4489.0236317448425,4392.608842274351,4578.628417305017,4689.641225550139,4674.86576256531,4353.704330740021,4581.203536634065,4476.266599923391,4438.837055472338,4577.100866592621,4477.788788511798,4636.605711454572,4421.511176566305,4868.258923281797,4593.372424221715,4486.31083418055,4384.8522713583525,4552.1335795966115,4581.533094110535,4773.774471108146,4556.368567477534,4643.680945450149,4422.899317662603,4459.185884871486,4372.016400317206,4368.464805106677,4556.1172519207485,4491.799719581816,4495.575433229411,4513.8987836412,4663.322868845129,4428.2849798475845,4341.943813029019,4753.590464867027,4522.132531621054,4605.343988113958,4461.350419288888,4298.193783592818,4487.335855608553,4647.701221532603,4353.5773912319455,4451.883256854584,4490.133351527724,4407.26454520671,4480.333405333781,4562.212854659231,4334.8541182845365,4557.732826307021,4474.04309610748,4480.754005847467,4625.207813867271,4593.425071404612,4514.2024338818,4525.481044623185,4719.330820413691,4457.390016810466,4381.290561529343,4348.900568755227,4595.283632999228,4450.631266367984
