algo,data,filename,jsd,loss_type,mae,mape,mean_std,rmse,smape,std_ae,std_ape,sub_data,tuning_algo
GruGan,gg_trace,"la-[16, 1]_ac-tanh_dr-0.229_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.054_ou-sigmoid_ce-gru_in-[4, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-4_is-False_lo-loss_gan_bs-16.csv",,loss_gan,1.743,2.045,0.027415663031129908,1.813,2.0,0.498,0.594,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.228_ou-tanh_ce-gru_co-after_la-[8, 1]_ac-tanh_dr-0.092_ou-sigmoid_ce-gru_in-[5, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_re_d_.csv",0.175,loss_gan_re_d,0.307,0.358,0.24944397070374913,0.477,0.308,0.577,0.72,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.5_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.014_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.2,loss_gan_re_d,0.305,0.359,0.19523067184684922,0.472,0.306,0.573,0.724,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.499_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.1_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.157,loss_gan_re_d,0.297,0.323,0.23823501600575692,0.476,0.303,0.524,0.596,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.016_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.02_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_re_d_.csv",0.193,loss_gan_re_d,0.304,0.358,0.2079662935372235,0.473,0.305,0.572,0.723,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.007_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.298_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.185,loss_gan_re_d,0.305,0.356,0.2661048738096571,0.474,0.306,0.571,0.714,5,pso
GruGan,gg_trace,"la-[32, 1]_ac-tanh_dr-0.359_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.199_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_re_d_.csv",0.117,loss_gan_re_d,0.312,0.342,0.2407216456408112,0.493,0.317,0.559,0.642,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.036_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.436_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.177,loss_gan_re_d,0.299,0.342,0.19715549689197653,0.472,0.302,0.55,0.669,5,pso
GruGan,gg_trace,"la-[8, 1]_ac-tanh_dr-0.5_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.5_ou-sigmoid_ce-gru_in-[5, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_re_d_.csv",0.166,loss_gan_re_d,0.304,0.35,0.22509642359735998,0.474,0.305,0.564,0.692,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.242_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.177,loss_gan_re_d,0.298,0.34,0.20788586269728979,0.471,0.302,0.547,0.665,5,pso
